"cve_mun","NOM_MUN"," Agencias de cobranza y comunicaciones"," Asociaciones y organizaciones civiles"," Comunicaciones y transportes paqueteria"," Consultorio y otros servicios medicos"," Cultura esparcimiento y deporte"," Servicios de belleza y funerarios"," Servicios y mantenimiento a automoviles diversos","Alimentos y bebidas","Alquileres diversos","Banca y seguros","Comercio minorista diverso","Explotacion de animales","Industria alimentaria y de bebidas","Industria del papel","Manufactura metal y herreria","Maquiladoras y textileras","Minería No Metálicos","Organismos operadores de agua","Tortillerías y panificadoras"," Educacion y otros sdervicios educacion"," Hospedaje","Construccion","Fabricación de material de construcción","Fabricación de muebles","Fabricas diversas","Fabricación de carrocerías, y equipo de transporte etc","Fabricación de maquinaria","Fertilizantes y agricultura","Generación, transmision, distribucion energía eléctrica","Industria Química","Petroquimica","Servicios de publicidad","Turismo","Agencias de publicidad","Fabricación de equipo electrónico y eléctrico","Minería Metálicos"
"001","ACATLÁN",5.18110280502049,8.2270394594621,0.523493224662473,5.92737268939527,0.0868700175897544,6.52607211758316,1.68066782602658,1.47576082817142,0.145150030192175,0.396751185407632,6.1735267201434,240.944321266304,94.4977724146278,0.590311517330997,0.0469804628138497,3.80617544253379,21.0198349679951,0.118673592781118,0.26160506191209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"002","ACAXOCHITLÁN",6.0053709358184,3.41679692553282,5.89480884180408,0.80442950020103,1.26570175181864,5.59886782625629,0.877950247021716,1.89627675697122,0.800888156936803,0.21378292630253,4.89591711014991,62.0454667671779,1.41743231759269,0.458034860827561,1.17054981502206,3.16292715782056,NA,6.19154554499679,3.09796233698638,2.51357130656162,1.7013699056641,0.00849777817512173,0.023515859660009,342.936089039171,0.524385332317686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"003","ACTOPAN",2.83494486404001,1.1396717722749,4.90682995124707,3.43402266971552,5.01015590182895,4.30291913400616,6.97402728165508,4.11366303655004,1.94603181198628,5.8513252764614,3.56982929906919,0.281346364399661,0.557455384909757,1.0081215383889,0.899899277641726,3.62748838484136,0.00295380981784404,3.3196215962168,3.25235628940538,3.60382985899183,1.30014460343077,0.0389664535786611,0.766803021721996,1.47082056736917,2.82202098781281,0.00198321561313536,0.0214993594880905,3.84883204964109,0.233449217358242,0.275441523739962,1326.23663483068,2.87457427498652,1.26496301285135,NA,NA,NA
"004","AGUA BLANCA DE ITURBIDE",7.32997637700023,4.82668737824409,0.850193689557698,1.67708795888644,0.622178946041947,5.6762964801851,6.65570507466376,2.50544611766992,0.462040466683412,0.71040112925834,4.27326073756402,152.325157942374,0.860203571380393,0.469768777510924,0.598191400574273,0.0409538553845205,NA,0.0944402183709313,8.85001947852093,1.11951375191776,9.32315527456073,71.5397471635493,0.868258364629921,26.0454676344185,NA,NA,NA,NA,NA,0.156483997455481,NA,8.39830393875147,NA,NA,NA,NA
"005","AJACUBA",13.3340463775381,2.14946945773312,3.82841272696926,0.994108707920572,22.4463176241404,8.12323692641152,4.25906583948273,3.81183021948121,1.64738638170229,1.12573607270254,6.62183530434101,0.164840267261151,0.250369032039999,NA,7.58415858455676,34.3734190608375,NA,2.85980680416037,8.60955916560041,7.87494223571354,12.5311035281325,8.59243674856651,5.34741645655121,2.28301545330612,0.352207044444832,NA,NA,NA,NA,0.0455459013147402,NA,0.271599175652585,NA,NA,NA,NA
"006","ALFAJAYUCAN",4.58506950071951,5.44318607933987,0.10505003200187,0.505911095965423,25.185511327679,3.44848279191345,1.7249438647275,1.11560766818906,0.289016982174137,0.843539342275241,2.0405935397273,259.535540571605,1.26507928180547,0.522402167240359,0.16630334913929,0.139473503756323,4.29958308207799,2.22225282675403,1.81503882402145,0.958883025776798,0.79318542879831,NA,NA,0.969187477322114,0.0841045531376092,622.108105266007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"007","ALMOLOYA",0.165363933024622,3.57131160968832,0.573193532954041,1.43878203412873,0.898325034807524,0.871465337787037,0.925552982214105,1.27362404321498,2.66844463932007,0.113967054946007,2.46144969604833,0.204428829354098,0.485153834232074,0.169567395398709,1.34951707362734,0.033261016000762,58.6021751948443,9.1685969025213,5.60963650653955,0.676330565973417,NA,NA,0.0783514765516824,9.17344989206069,19.607691943004,1511.25773304073,1.62527441682345,NA,NA,0.0564843496213137,NA,NA,NA,NA,NA,NA
"008","APAN",1.84502388435824,2.12804371738929,9.45363200427589,2.61178454442579,7.5634722140928,4.33454830562454,4.65945782920568,3.87343050463442,3.27060163149197,11.5020082927982,6.12380562262318,3.52081474972526,2.56132390145329,0.532049165712221,11.1126549528946,0.129580023303962,NA,0.645781224675104,7.27399646140297,3.38684634795667,0.305924876449499,0.682352068961845,0.0451547073420081,1.20473622960605,2.11703828553709,0.00960029211170917,0.416293881377842,NA,18.7487434329071,170.318152445103,NA,1.7470512095104,6.12339594013263,NA,NA,NA
"009","EL ARENAL",1.8042379466053,3.67612216272849,0.0930093472956732,1.20473716594104,0.0680650284555472,8.88498346363125,6.6437763671648,29.4708195888989,2.84322520285732,1.24346150599732,7.0246758531399,0.557615927116713,2.74408449867184,NA,0.331294267493154,0.0100805918251509,NA,6.25224396959103,6.06593934620592,3.3152169060082,13.5010685319241,5.19292976486384,10.4721605922323,2.38361275614908,67.0181483867193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"010","ATITALAQUIA",2.54440673851568,0.486606411292369,26.200436386846,0.172059975070027,2.09040442854987,0.700550983674733,2.11293520295877,1.16279991022708,30.2493396637864,1.54318833783276,1.50908355196097,0.603705247693416,22.0842220852908,0.378642603743012,10.2023720770866,0.0485292540960359,2.04465901196373,0.494974325753759,1.22780360227378,2.88342950273728,0.619983408910114,7.78977299376808,0.231382225825137,0.274405199777458,0.197509971258077,NA,3.81295393579313,NA,276.613004597549,561.976041882388,36.1045777762148,0.105768645615771,8.54134225670337,NA,NA,NA
