"CVE_MUN","Municipio","Región","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
"001","Acatlán","Región Tulancingo",15,32.8666666666667,16,29.125,17,28.2352941176471,16,29.125,17,28.4705882352941,15,28.2,17,28.3529411764706,16,26.6875,17,30.2352941176471,19,30.3157894736842,19,28.1578947368421,21,27.9047619047619,21,27.952380952381,21,27.952380952381,21,28.047619047619,20,28.45,20,27.95,21,28.2857142857143
"002","Acaxochitlán","Región Tulancingo",21,24.6190476190476,20,26.15,20,25.85,20,26.1,20,26.7,19,26.3157894736842,21,26,20,25.6,23,26.6521739130435,21,27.9047619047619,24,26.4166666666667,23,25.7826086956522,24,25.5,24,25.5,24,25.5833333333333,23,25.4347826086957,24,26,21,29.6190476190476
"003","Actopan","Región Actopan",27,23.8148148148148,32,23.09375,29,24.4827586206897,29,24.4827586206897,31,24.1935483870968,29,24.0344827586207,30,24.5666666666667,29,25.6206896551724,26,22.3076923076923,27,22.8148148148148,25,23.56,24,24.0833333333333,26,23.3846153846154,24,24.0833333333333,26,23.7692307692308,25,24.64,25,24.48,27,25.8148148148148
"004","Agua Blanca de Iturbide","Región Tulancingo",14,34.0714285714286,12,34.1666666666667,12,34.25,12,34.4166666666667,12,34.6666666666667,12,35,13,33.8461538461538,13,34,16,36.125,16,34.5625,17,34,17,34.1176470588235,17,34.1764705882353,17,34.1176470588235,17,34.1764705882353,16,35.75,16,35.6875,19,34.3684210526316
"005","Ajacuba","Región Tula",16,31.5625,14,34.1428571428571,14,33.8571428571429,15,34.0666666666667,16,33,14,32.8571428571429,16,33.4375,16,33,18,31.5,17,33.1176470588235,16,32.125,17,32.2352941176471,17,32.0588235294118,17,32.0588235294118,17,32,18,30.5,17,29.5882352941176,17,31.5294117647059
"006","Alfajayucan","Región Ixmiquilpan",21,32.6190476190476,24,30.4583333333333,21,31.4285714285714,20,32,20,32.65,18,32.3888888888889,19,31.7368421052632,20,31.55,19,31.6315789473684,20,32.15,18,32.5,18,32.6111111111111,18,32.5,18,32.3888888888889,19,32.1578947368421,19,32.0526315789474,19,31.6315789473684,19,31.1052631578947
"007","Almoloya","Región Apan",17,30.5882352941176,20,31.6,20,32.55,22,31.9545454545455,21,33.0952380952381,20,32.15,22,32.5,21,33.8571428571429,19,37.0526315789474,18,37.8888888888889,17,37.8235294117647,17,37.8235294117647,17,37.7647058823529,17,37.7647058823529,18,36.9444444444444,15,35.3333333333333,16,35.3125,18,37.7777777777778
"008","Apan","Región Apan",27,24.7037037037037,24,24.2916666666667,23,24,26,23.8076923076923,26,24.1153846153846,24,23.7916666666667,26,24.1153846153846,25,23.84,23,26.1304347826087,26,24.0384615384615,23,24.2608695652174,23,24.2608695652174,23,24.304347826087,23,24.304347826087,24,24.1666666666667,22,24.7272727272727,23,25.1304347826087,21,26.8571428571429
"009","El Arenal","Región Actopan",11,32.2727272727273,12,34.0833333333333,12,34.5,12,34.0833333333333,12,34.25,12,34.4166666666667,12,35.0833333333333,13,35.0769230769231,14,33.7857142857143,13,36.3846153846154,12,34.75,14,32.3571428571429,15,32.6,15,32.6,15,32.8,15,32.5333333333333,15,32.0666666666667,15,31.9333333333333
"010","Atitalaquia","Región Tula",17,18.1764705882353,17,16.7647058823529,16,17.25,16,16.6875,16,17.25,13,15.3076923076923,16,17,15,17.3333333333333,17,20.8823529411765,16,19.5625,16,20.25,17,19.6470588235294,17,19.4705882352941,18,21.4444444444444,20,20.35,19,18.5789473684211,21,18.952380952381,23,19.2173913043478
