"estado","NOM_ENT","NOM_ABR","region","diversidad_2015","especializado_2015","diversidad_2016A","especializado_2016A","diversidad_2016B","especializado_2016B","diversidad_2017A","especializado_2017A","diversidad_2017B","especializado_2017B","diversidad_2018A","especializado_2018A","diversidad_2018B","especializado_2018B","diversidad_2019A","especializado_2019A","diversidad_2019B","especializado_2019B","diversidad_2020A","especializado_2020A","diversidad_2020B","especializado_2020B","diversidad_2021A","especializado_2021A","diversidad_2021B","especializado_2021B","diversidad_2022A","especializado_2022A","diversidad_2022B","especializado_2022B","diversidad_2023B","especializado_2023B","diversidad_2024A","especializado_2024A","diversidad_2024B","especializado_2024B"
1,"AGUASCALIENTES","AGS","Centronorte",37,12.8648648648649,36,13.7222222222222,37,13.8108108108108,35,13.5714285714286,38,13.2894736842105,36,13.1944444444444,38,12.7368421052632,40,12.475,38,12.5789473684211,36,12.75,38,12.7894736842105,38,12.7368421052632,38,13,37,13,38,12.6842105263158,35,12.6285714285714,35,12.6285714285714,36,13.4722222222222
2,"BAJA CALIFORNIA","BC","Noroeste",41,12.6341463414634,41,11.9024390243902,38,12.1052631578947,38,12.0789473684211,41,12.3414634146341,40,12.2,39,12.0769230769231,37,12.2972972972973,40,11.95,38,12.0526315789474,42,12.5714285714286,40,12.6,40,12.65,41,12.5609756097561,41,12.219512195122,46,12.1521739130435,45,12.2666666666667,44,12.1136363636364
3,"BAJA CALIFORNIA SUR","BCS","Noroeste",30,15.1,36,14.75,35,14.7142857142857,35,14.6857142857143,34,14.9705882352941,33,14.8484848484848,33,14.3636363636364,34,13.9705882352941,36,13.3888888888889,35,13.8571428571429,32,14.28125,32,14.46875,31,14.3870967741935,32,14.34375,32,14.15625,32,14.0625,32,13.875,37,13.5675675675676
4,"CAMPECHE","CAMP","Suroeste",34,13.6176470588235,34,14.3235294117647,36,14,38,13.9473684210526,36,14.1944444444444,35,14.0571428571429,36,13.8888888888889,33,13.8181818181818,34,13.7941176470588,35,13.2571428571429,36,14.0833333333333,36,13.9722222222222,35,13.7142857142857,34,14.0294117647059,32,13.9375,31,13.3870967741935,31,13.4838709677419,32,13.40625
5,"COAHUILA DE ZARAGOZA","COAH","Noreste",39,12.7179487179487,42,12.9285714285714,39,13.3076923076923,40,13.15,40,13.65,39,13.5128205128205,42,13.4761904761905,37,12.7027027027027,42,13.1904761904762,39,12.8461538461538,42,13.2380952380952,43,13.093023255814,43,12.9302325581395,43,12.906976744186,39,13.2307692307692,41,12.7317073170732,41,12.7317073170732,41,13.4634146341463
6,"COLIMA","COL","Occidente",32,15.21875,35,15.5142857142857,35,15.3428571428571,36,15.3611111111111,36,15.4444444444444,33,15.3939393939394,23,15.6086956521739,23,15.3913043478261,23,14.6521739130435,22,14.3636363636364,35,14.9714285714286,33,15.0909090909091,33,14.969696969697,33,15.0606060606061,32,14.96875,32,14.84375,33,14.7878787878788,32,14.8125
7,"CHIAPAS","CHIS","Sureste",22,14.9545454545455,21,15.6190476190476,22,15.1363636363636,21,15.2857142857143,21,15.2380952380952,21,14.7619047619048,22,15.2272727272727,23,15,24,15.2916666666667,23,14.7391304347826,25,14.36,26,14.4230769230769,26,14.4230769230769,26,14.5384615384615,25,14.36,25,13.8,24,13.9166666666667,22,14.3181818181818
8,"CHIHUAHUA","CHIH","Noroeste",39,12.974358974359,38,13.0263157894737,40,13,42,12.6666666666667,42,12.7619047619048,40,12.475,41,12.5609756097561,39,12.7948717948718,44,12.3863636363636,39,12.3589743589744,44,12.6363636363636,43,12.6511627906977,43,12.6279069767442,42,12.6428571428571,40,12.6,37,12.4864864864865,37,12.7027027027027,40,13.075
9,"CIUDAD DE MÉXICO","CDMX","Centrosur",41,10.3658536585366,43,11.1395348837209,44,11.2954545454545,44,11.4090909090909,44,11.4545454545455,43,11.4418604651163,44,11.25,43,10.9302325581395,47,10.3617021276596,47,10.1914893617021,46,10.695652173913,46,10.6521739130435,46,10.6521739130435,46,10.5652173913043,45,10.2222222222222,46,10.7173913043478,47,10.6808510638298,51,11.4901960784314
10,"DURANGO","DGO","Noroeste",31,14.3548387096774,35,15.2,35,15.0857142857143,34,15.0294117647059,34,15.1470588235294,32,15.0625,32,15,32,14.4375,34,14.3235294117647,32,14.1875,32,14.34375,31,14.3225806451613,32,14.375,32,14.375,33,14.2121212121212,34,13.9117647058824,34,14.2352941176471,35,14.5714285714286
11,"GUANAJUATO","GTO","Centronorte",33,12.2424242424242,29,12.8620689655172,28,12.5357142857143,26,12.4230769230769,25,12.68,21,13.0952380952381,25,12.48,27,12.1851851851852,28,12.4642857142857,27,11.9259259259259,28,12.6071428571429,27,12.6296296296296,27,12.5925925925926,27,12.5185185185185,25,12.32,27,11.7777777777778,27,11.8888888888889,24,12.125
12,"GUERRERO","GRO","Sureste",23,13.7826086956522,26,14.1538461538462,23,14.3913043478261,25,13.8,26,13.9230769230769,24,14.0416666666667,24,13.9583333333333,24,13.9166666666667,24,13.875,25,14.24,24,14.0833333333333,24,14.2083333333333,24,14.25,24,14.25,24,14.375,22,14.0909090909091,21,14.3333333333333,20,14.4
13,"HIDALGO","HGO","Oriente",28,13.5,28,14.7142857142857,29,14.4137931034483,29,14.0689655172414,29,14.4137931034483,27,14.4814814814815,30,14.3333333333333,32,14.25,31,13.8387096774194,31,13.9354838709677,29,13.6551724137931,31,13.8709677419355,30,13.8666666666667,28,14.1785714285714,28,13.9642857142857,26,13.5769230769231,26,13.5769230769231,28,13.4642857142857
