"nodo1","nodo2","nodo1_nombre","nodo2_nombre","peso_arista","peso_nodo1","peso_nodo2","nodo1_afinidad","nodo2_afinidad","nodo1_dos_digitos","nodo2_dos_digitos","nodo1_dos_digitos_nombre","nodo2_dos_digitos_nombre"
112512,114119,"Piscicultura y otra acuicultura, excepto camaronicultura","Pesca y captura de peces, crustáceos, moluscos y otras especies",0.434782608695652,429,433.5,0.414243448633605,0.326120742761161,11,11,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza"
112512,624199,"Piscicultura y otra acuicultura, excepto camaronicultura","Otros servicios de orientación y trabajo social prestados por el sector público",0.260869565217391,429,185,0.414243448633605,0.360774842134403,11,62,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de salud y de asistencia social"
112512,931310,"Piscicultura y otra acuicultura, excepto camaronicultura","Regulación y fomento del desarrollo económico",0.565217391304348,429,2344.5,0.414243448633605,0.393552115481563,11,93,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
112512,931410,"Piscicultura y otra acuicultura, excepto camaronicultura","Impartición de justicia y mantenimiento de la seguridad y el orden público",0.533333333333333,429,10684,0.414243448633605,0.381083096647256,11,93,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
115111,484239,"Servicios de fumigación agrícola","Otro autotransporte foráneo de carga especializado",0.6,15.5,584.5,0.29638712054523,0.35274069042162,11,48,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Transportes, correos y almacenamiento"
115111,561330,"Servicios de fumigación agrícola","Suministro de personal permanente",0.5,15.5,1808.5,0.29638712054523,0.256546379160574,11,56,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
115111,561730,"Servicios de fumigación agrícola","Servicios de instalación y mantenimiento de áreas verdes",0.666666666666667,15.5,72,0.29638712054523,0.341910422307579,11,56,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
115111,722310,"Servicios de fumigación agrícola","Servicios de comedor para empresas e instituciones",0.666666666666667,15.5,43.5,0.29638712054523,0.258649745751129,11,72,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de alojamiento temporal y de preparación de alimentos y bebidas"
115113,623312,"Beneficio de productos agrícolas","Asilos y otras residencias del sector público para el cuidado de ancianos",0.333333333333333,15,18.5,0.253002735141045,0.331575725119176,11,62,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de salud y de asistencia social"
115119,433430,"Otros servicios relacionados con la agricultura","Comercio al por mayor de revistas y periódicos",0.666666666666667,15.5,7.5,0.28773538099915,0.191987980624175,11,43,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Comercio al por mayor"
115210,238222,"Servicios relacionados con la cría y explotación de animales","Instalaciones de sistemas centrales de aire acondicionado y calefacción",0.5,5,2.5,0.269512672401686,0.239029008407208,11,23,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Construcción"
115210,337210,"Servicios relacionados con la cría y explotación de animales","Fabricación de muebles de oficina y estantería",0.666666666666667,5,274.5,0.269512672401686,0.263513124792293,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
212222,236222,"Minería de plata","Supervisión de edificación de inmuebles comerciales y de servicios",1,251,5,0.380581128184923,0.29043888411893,21,23,"Minería","Construcción"
212222,237121,"Minería de plata","Construcción de sistemas de distribución de petróleo y gas",1,251,75.5,0.380581128184923,0.266795345910313,21,23,"Minería","Construcción"
212222,237132,"Minería de plata","Construcción de obras para telecomunicaciones",1,251,8,0.380581128184923,0.251255941680513,21,23,"Minería","Construcción"
212222,237311,"Minería de plata","Instalación de señalamientos y protecciones en obras viales",1,251,20.5,0.380581128184923,0.385507405317551,21,23,"Minería","Construcción"
212222,238190,"Minería de plata","Otros trabajos en exteriores",1,251,2.5,0.380581128184923,0.274355218106738,21,23,"Minería","Construcción"
