"nodo1","nodo2","nodo1_nombre","nodo2_nombre","peso_arista","peso_nodo1","peso_nodo2","nodo1_afinidad","nodo2_afinidad","nodo1_dos_digitos","nodo2_dos_digitos","nodo1_dos_digitos_nombre","nodo2_dos_digitos_nombre"
112512,522210,"Piscicultura y otra acuicultura, excepto camaronicultura","Banca de desarrollo",0.583333333333333,767,219.5,0.465905872982848,0.495190717275345,11,52,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios financieros y de seguros"
114119,484129,"Pesca y captura de peces, crustáceos, moluscos y otras especies","Otro autotransporte foráneo de carga general",0.384615384615385,911,833,0.391735364325797,0.293156040585345,11,48,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Transportes, correos y almacenamiento"
115113,331520,"Beneficio de productos agrícolas","Moldeo por fundición de piezas metálicas no ferrosas",0.333333333333333,13,442,0.323073337052786,0.401464826942451,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115113,332510,"Beneficio de productos agrícolas","Fabricación de herrajes y cerraduras",0.333333333333333,13,58.5,0.323073337052786,0.269496041432181,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115119,325120,"Otros servicios relacionados con la agricultura","Fabricación de gases industriales",0.5,5,41,0.295002222996809,0.302184980063985,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115119,325211,"Otros servicios relacionados con la agricultura","Fabricación de resinas sintéticas",0.5,5,292.5,0.295002222996809,0.397165703005474,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115210,711122,"Servicios relacionados con la cría y explotación de animales","Compañías de danza del sector público",0.5,5,2.5,0.257532138287442,0.261454187750462,11,71,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
212222,541850,"Minería de plata","Agencias de anuncios publicitarios",1,467,23.5,0.435757453631566,0.23484887808383,21,54,"Minería","Servicios profesionales, científicos y técnicos"
212222,713299,"Minería de plata","Otros juegos de azar",0.5,467,196.5,0.435757453631566,0.28450332225326,21,71,"Minería","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
212231,212232,"Minería de cobre","Minería de plomo y zinc",1,828.5,477.5,0.394678789135972,0.44962741869716,21,21,"Minería","Minería"
212231,212394,"Minería de cobre","Minería de roca fosfórica",1,828.5,75.5,0.394678789135972,0.39016191994469,21,21,"Minería","Minería"
212231,511142,"Minería de cobre","Edición de directorios y de listas de correo integrada con la impresión",1,828.5,2.5,0.394678789135972,0.355127763852573,21,51,"Minería","Información en medios masivos"
212232,212394,"Minería de plomo y zinc","Minería de roca fosfórica",1,477.5,75.5,0.44962741869716,0.39016191994469,21,21,"Minería","Minería"
212232,511142,"Minería de plomo y zinc","Edición de directorios y de listas de correo integrada con la impresión",1,477.5,2.5,0.44962741869716,0.355127763852573,21,51,"Minería","Información en medios masivos"
212291,432130,"Minería de manganeso","Comercio al por mayor de calzado",0.2,326.5,115.5,0.536253109584521,0.257859073437391,21,43,"Minería","Comercio al por mayor"
212311,711510,"Minería de piedra caliza","Artistas, escritores y técnicos independientes",0.444444444444444,675.5,89,0.401153230616896,0.476240637779636,21,71,"Minería","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
212312,325520,"Minería de mármol","Fabricación de adhesivos",0.5,7.5,395.5,0.340306656077371,0.353418861106826,21,32,"Minería","Industrias manufactureras"
212319,332310,"Minería de otras piedras dimensionadas","Fabricación de estructuras metálicas",0.444444444444444,216,1194,0.468385902791691,0.371277360927558,21,33,"Minería","Industrias manufactureras"
212319,339912,"Minería de otras piedras dimensionadas","Orfebrería y joyería de metales y piedras preciosos",0.428571428571429,216,35,0.468385902791691,0.329194570239302,21,33,"Minería","Industrias manufactureras"
212319,541620,"Minería de otras piedras dimensionadas","Servicios de consultoría en medio ambiente",0.571428571428571,216,40.5,0.468385902791691,0.29291662661909,21,54,"Minería","Servicios profesionales, científicos y técnicos"
212321,611142,"Minería de arena y grava para la construcción","Escuelas de educación secundaria técnica del sector público",0.44,421.5,2486.5,0.421927770571739,0.396896897286615,21,61,"Minería","Servicios educativos"
212322,621512,"Minería de tezontle y tepetate","Laboratorios médicos y de diagnóstico del sector público",0.666666666666667,59,25.5,0.528109917755843,0.379187019262059,21,62,"Minería","Servicios de salud y de asistencia social"
212324,238350,"Minería de sílice","Realización de trabajos de carpintería en el lugar de la construcción",0.5,8,5,0.302346891581617,0.296300234070854,21,23,"Minería","Construcción"
212324,314993,"Minería de sílice","Fabricación de productos textiles reciclados",1,8,23,0.302346891581617,0.39956760519587,21,31,"Minería","Industrias manufactureras"
212325,484121,"Minería de caolín","Autotransporte foráneo de productos agrícolas sin refrigeración",0.666666666666667,62.5,127,0.394046506081149,0.283023734299389,21,48,"Minería","Transportes, correos y almacenamiento"
212329,324110,"Minería de otras arcillas y de otros minerales refractarios","Refinación de petróleo",1,43,2.5,0.441080896693448,0.376108285387446,21,32,"Minería","Industrias manufactureras"
212329,325110,"Minería de otras arcillas y de otros minerales refractarios","Fabricación de petroquímicos básicos del gas natural y del petróleo refinado",1,43,256,0.441080896693448,0.39521577571648,21,32,"Minería","Industrias manufactureras"
212329,325991,"Minería de otras arcillas y de otros minerales refractarios","Fabricación de cerillos",1,43,251,0.441080896693448,0.481997014624742,21,32,"Minería","Industrias manufactureras"
212329,486210,"Minería de otras arcillas y de otros minerales refractarios","Transporte de gas natural por ductos",1,43,2.5,0.441080896693448,0.235029951704337,21,48,"Minería","Transportes, correos y almacenamiento"
