"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,6,0.477777777777778,939.5,1329,"ACATLÁN","ALFAJAYUCAN","Región Tulancingo","Región Ixmiquilpan"
1,24,0.432432432432432,939.5,1001.5,"ACATLÁN","HUASCA DE OCAMPO","Región Tulancingo","Región Mineral de la Reforma"
1,60,0.486486486486487,939.5,1401,"ACATLÁN","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
2,14,0.459770114942529,3199.5,1898.5,"ACAXOCHITLÁN","CALNALI","Región Tulancingo","Región Huejutla"
3,8,0.441340782122905,16342,8201,"ACTOPAN","APAN","Región Actopan","Región Apan"
3,30,0.462616822429907,16342,19458.5,"ACTOPAN","IXMIQUILPAN","Región Actopan","Región Ixmiquilpan"
4,6,0.555555555555556,983.5,1329,"AGUA BLANCA DE ITURBIDE","ALFAJAYUCAN","Región Tulancingo","Región Ixmiquilpan"
4,14,0.465909090909091,983.5,1898.5,"AGUA BLANCA DE ITURBIDE","CALNALI","Región Tulancingo","Región Huejutla"
4,17,0.488636363636364,983.5,993.5,"AGUA BLANCA DE ITURBIDE","CHAPANTONGO","Región Tulancingo","Región Huichapan"
4,22,0.386363636363636,983.5,1090.5,"AGUA BLANCA DE ITURBIDE","EPAZOYUCAN","Región Tulancingo","Región Mineral de la Reforma"
4,27,0.454545454545455,983.5,1379.5,"AGUA BLANCA DE ITURBIDE","HUEHUETLA","Región Tulancingo","Región Tulancingo"
4,35,0.5,983.5,891.5,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
4,37,0.473118279569892,983.5,1739.5,"AGUA BLANCA DE ITURBIDE","METZTITLÁN","Región Tulancingo","Región Zacualtipán"
4,54,0.474226804123711,983.5,2212,"AGUA BLANCA DE ITURBIDE","SAN SALVADOR","Región Tulancingo","Región Actopan"
4,65,0.456521739130435,983.5,1812.5,"AGUA BLANCA DE ITURBIDE","TETEPANGO","Región Tulancingo","Región Tula"
4,73,0.465909090909091,983.5,1819.5,"AGUA BLANCA DE ITURBIDE","TLANCHINOL","Región Tulancingo","Región Huejutla"
5,57,0.418604651162791,3050.5,1720.5,"AJACUBA","SINGUILUCAN","Región Tula","Región Tulancingo"
5,65,0.5,3050.5,1812.5,"AJACUBA","TETEPANGO","Región Tula","Región Tula"
6,7,0.455555555555556,1329,1352,"ALFAJAYUCAN","ALMOLOYA","Región Ixmiquilpan","Región Apan"
6,14,0.477777777777778,1329,1898.5,"ALFAJAYUCAN","CALNALI","Región Ixmiquilpan","Región Huejutla"
6,18,0.488888888888889,1329,1555,"ALFAJAYUCAN","CHAPULHUACÁN","Región Ixmiquilpan","Región Jacala"
6,35,0.466666666666667,1329,891.5,"ALFAJAYUCAN","METEPEC","Región Ixmiquilpan","Región Tulancingo"
6,37,0.537634408602151,1329,1739.5,"ALFAJAYUCAN","METZTITLÁN","Región Ixmiquilpan","Región Zacualtipán"
6,59,0.461538461538462,1329,2649,"ALFAJAYUCAN","TECOZAUTLA","Región Ixmiquilpan","Región Huichapan"
6,65,0.5,1329,1812.5,"ALFAJAYUCAN","TETEPANGO","Región Ixmiquilpan","Región Tula"
6,66,0.464646464646465,1329,2513,"ALFAJAYUCAN","VILLA DE TEZONTEPEC","Región Ixmiquilpan","Región Tizayuca"
6,73,0.466666666666667,1329,1819.5,"ALFAJAYUCAN","TLANCHINOL","Región Ixmiquilpan","Región Huejutla"
7,14,0.494252873563218,1352,1898.5,"ALMOLOYA","CALNALI","Región Apan","Región Huejutla"
7,65,0.456521739130435,1352,1812.5,"ALMOLOYA","TETEPANGO","Región Apan","Región Tula"
7,73,0.469879518072289,1352,1819.5,"ALMOLOYA","TLANCHINOL","Región Apan","Región Huejutla"
8,28,0.368715083798883,8201,20953.5,"APAN","HUEJUTLA DE REYES","Región Apan","Región Huejutla"
8,41,0.430167597765363,8201,9988.5,"APAN","MIXQUIAHUALA DE JUÁREZ","Región Apan","Región Actopan"
