"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,24,0.444444444444444,1267,1037,"ACATLÁN","HUASCA DE OCAMPO","Región Tulancingo","Región Mineral de la Reforma"
1,60,0.486486486486487,1267,1303.5,"ACATLÁN","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
2,27,0.423076923076923,3226,1360,"ACAXOCHITLÁN","HUEHUETLA","Región Tulancingo","Región Tulancingo"
3,30,0.454106280193237,16693.5,19081.5,"ACTOPAN","IXMIQUILPAN","Región Actopan","Región Ixmiquilpan"
3,77,0.420494699646643,16693.5,44163.5,"ACTOPAN","TULANCINGO DE BRAVO","Región Actopan","Región Tulancingo"
4,17,0.45,1162,1034,"AGUA BLANCA DE ITURBIDE","CHAPANTONGO","Región Tulancingo","Región Huichapan"
4,27,0.45,1162,1360,"AGUA BLANCA DE ITURBIDE","HUEHUETLA","Región Tulancingo","Región Tulancingo"
4,35,0.48780487804878,1162,869.5,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
4,42,0.45,1162,1915.5,"AGUA BLANCA DE ITURBIDE","MOLANGO DE ESCAMILLA","Región Tulancingo","Región Zacualtipán"
4,60,0.4875,1162,1303.5,"AGUA BLANCA DE ITURBIDE","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
5,7,0.48314606741573,3065,1189.5,"AJACUBA","ALMOLOYA","Región Tula","Región Apan"
5,65,0.472527472527473,3065,1835.5,"AJACUBA","TETEPANGO","Región Tula","Región Tula"
6,7,0.460674157303371,1540.5,1189.5,"ALFAJAYUCAN","ALMOLOYA","Región Ixmiquilpan","Región Apan"
6,14,0.453488372093023,1540.5,1918,"ALFAJAYUCAN","CALNALI","Región Ixmiquilpan","Región Huejutla"
6,65,0.472527472527473,1540.5,1835.5,"ALFAJAYUCAN","TETEPANGO","Región Ixmiquilpan","Región Tula"
7,14,0.49438202247191,1189.5,1918,"ALMOLOYA","CALNALI","Región Apan","Región Huejutla"
7,18,0.471910112359551,1189.5,1600.5,"ALMOLOYA","CHAPULHUACÁN","Región Apan","Región Jacala"
7,52,0.337078651685393,1189.5,3698,"ALMOLOYA","SAN AGUSTÍN TLAXIACA","Región Apan","Región Pachuca"
7,65,0.472527472527473,1189.5,1835.5,"ALMOLOYA","TETEPANGO","Región Apan","Región Tula"
7,82,0.436170212765957,1189.5,4332,"ALMOLOYA","ZAPOTLÁN DE JUÁREZ","Región Apan","Región Pachuca"
8,41,0.46242774566474,8244,9374,"APAN","MIXQUIAHUALA DE JUÁREZ","Región Apan","Región Actopan"
9,22,0.387096774193548,1059,1066,"EL ARENAL","EPAZOYUCAN","Región Actopan","Región Mineral de la Reforma"
9,49,0.379310344827586,1059,1137,"EL ARENAL","PISAFLORES","Región Actopan","Región Jacala"
9,55,0.413793103448276,1059,992,"EL ARENAL","SANTIAGO DE ANAYA","Región Actopan","Región Actopan"
10,13,0.233870967741935,10703.5,7710,"ATITALAQUIA","ATOTONILCO DE TULA","Región Tula","Región Tula"
11,73,0.445945945945946,1797,2083,"ATLAPEXCO","TLANCHINOL","Región Huejutla","Región Huejutla"
12,16,0.492424242424242,4080,6343.5,"ATOTONILCO EL GRANDE","CUAUTEPEC DE HINOJOSA","Región Zacualtipán","Región Tulancingo"
12,23,0.452554744525547,4080,6250.5,"ATOTONILCO EL GRANDE","FRANCISCO I. MADERO","Región Zacualtipán","Región Actopan"
12,29,0.366906474820144,4080,8102.5,"ATOTONILCO EL GRANDE","HUICHAPAN","Región Zacualtipán","Región Huichapan"
12,50,0.460526315789474,4080,7046,"ATOTONILCO EL GRANDE","PROGRESO DE OBREGÓN","Región Zacualtipán","Región Actopan"
12,59,0.462121212121212,4080,2341,"ATOTONILCO EL GRANDE","TECOZAUTLA","Región Zacualtipán","Región Huichapan"
12,67,0.488888888888889,4080,7712,"ATOTONILCO EL GRANDE","TEZONTEPEC DE ALDAMA","Región Zacualtipán","Región Tula"
12,84,0.393939393939394,4080,6319,"ATOTONILCO EL GRANDE","ZIMAPÁN","Región Zacualtipán","Región Ixmiquilpan"
13,56,0.395161290322581,7710,4934.5,"ATOTONILCO DE TULA","SANTIAGO TULANTEPEC DE LUGO GUERRERO","Región Tula","Región Tulancingo"
14,17,0.453488372093023,1918,1034,"CALNALI","CHAPANTONGO","Región Huejutla","Región Huichapan"
14,27,0.476744186046512,1918,1360,"CALNALI","HUEHUETLA","Región Huejutla","Región Tulancingo"
14,35,0.5,1918,869.5,"CALNALI","METEPEC","Región Huejutla","Región Tulancingo"
14,37,0.520833333333333,1918,1790.5,"CALNALI","METZTITLÁN","Región Huejutla","Región Zacualtipán"
14,42,0.476744186046512,1918,1915.5,"CALNALI","MOLANGO DE ESCAMILLA","Región Huejutla","Región Zacualtipán"
14,46,0.515151515151515,1918,3876,"CALNALI","SAN FELIPE ORIZATLÁN","Región Huejutla","Región Huejutla"
14,65,0.450549450549451,1918,1835.5,"CALNALI","TETEPANGO","Región Huejutla","Región Tula"
15,38,0.357142857142857,928.5,671,"CARDONAL","MINERAL DEL CHICO","Región Ixmiquilpan","Región Mineral de la Reforma"
16,23,0.510948905109489,6343.5,6250.5,"CUAUTEPEC DE HINOJOSA","FRANCISCO I. MADERO","Región Tulancingo","Región Actopan"
16,67,0.540740740740741,6343.5,7712,"CUAUTEPEC DE HINOJOSA","TEZONTEPEC DE ALDAMA","Región Tulancingo","Región Tula"
16,70,0.454545454545455,6343.5,4377,"CUAUTEPEC DE HINOJOSA","TLAHUELILPAN","Región Tulancingo","Región Tula"
16,74,0.470588235294118,6343.5,6927,"CUAUTEPEC DE HINOJOSA","TLAXCOAPAN","Región Tulancingo","Región Tula"
17,27,0.474358974358974,1034,1360,"CHAPANTONGO","HUEHUETLA","Región Huichapan","Región Tulancingo"
17,35,0.475609756097561,1034,869.5,"CHAPANTONGO","METEPEC","Región Huichapan","Región Tulancingo"
17,44,0.402597402597403,1034,867,"CHAPANTONGO","NOPALA DE VILLAGRÁN","Región Huichapan","Región Huichapan"
17,57,0.350649350649351,1034,1983.5,"CHAPANTONGO","SINGUILUCAN","Región Huichapan","Región Tulancingo"
18,31,0.475728155339806,1600.5,2321.5,"CHAPULHUACÁN","JACALA DE LEDEZMA","Región Jacala","Región Jacala"
18,37,0.479166666666667,1600.5,1790.5,"CHAPULHUACÁN","METZTITLÁN","Región Jacala","Región Zacualtipán"
18,49,0.393258426966292,1600.5,1137,"CHAPULHUACÁN","PISAFLORES","Región Jacala","Región Jacala"
