"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_nombre","nodo2_nombre","nodo1_region","nodo2_region"
1,24,0.440677966101695,1189.5,987,"ACATLÁN","HUASCA DE OCAMPO","Región Tulancingo","Región Mineral de la Reforma"
1,60,0.5,1189.5,1207.5,"ACATLÁN","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
2,7,0.44,3042.5,1060,"ACAXOCHITLÁN","ALMOLOYA","Región Tulancingo","Región Apan"
3,41,0.450617283950617,14828,8409.5,"ACTOPAN","MIXQUIAHUALA DE JUÁREZ","Región Actopan","Región Actopan"
3,77,0.409961685823755,14828,39202,"ACTOPAN","TULANCINGO DE BRAVO","Región Actopan","Región Tulancingo"
4,35,0.450704225352113,1047,787,"AGUA BLANCA DE ITURBIDE","METEPEC","Región Tulancingo","Región Tulancingo"
4,57,0.323076923076923,1047,1848,"AGUA BLANCA DE ITURBIDE","SINGUILUCAN","Región Tulancingo","Región Tulancingo"
4,60,0.461538461538462,1047,1207.5,"AGUA BLANCA DE ITURBIDE","TENANGO DE DORIA","Región Tulancingo","Región Tulancingo"
5,7,0.48,2777,1060,"AJACUBA","ALMOLOYA","Región Tula","Región Apan"
5,22,0.386666666666667,2777,1006,"AJACUBA","EPAZOYUCAN","Región Tula","Región Mineral de la Reforma"
5,65,0.480519480519481,2777,1650,"AJACUBA","TETEPANGO","Región Tula","Región Tula"
6,17,0.445945945945946,1361,867,"ALFAJAYUCAN","CHAPANTONGO","Región Ixmiquilpan","Región Huichapan"
7,14,0.5,1060,1805.5,"ALMOLOYA","CALNALI","Región Apan","Región Huejutla"
7,17,0.466666666666667,1060,867,"ALMOLOYA","CHAPANTONGO","Región Apan","Región Huichapan"
7,18,0.461538461538462,1060,1461.5,"ALMOLOYA","CHAPULHUACÁN","Región Apan","Región Jacala"
7,25,0.466666666666667,1060,1473.5,"ALMOLOYA","HUAUTLA","Región Apan","Región Huejutla"
7,39,0.4,1060,2735.5,"ALMOLOYA","MINERAL DEL MONTE","Región Apan","Región Mineral de la Reforma"
7,65,0.454545454545455,1060,1650,"ALMOLOYA","TETEPANGO","Región Apan","Región Tula"
8,41,0.450980392156863,7359.5,8409.5,"APAN","MIXQUIAHUALA DE JUÁREZ","Región Apan","Región Actopan"
8,50,0.464052287581699,7359.5,6481.5,"APAN","PROGRESO DE OBREGÓN","Región Apan","Región Actopan"
9,49,0.377358490566038,991.5,1092,"EL ARENAL","PISAFLORES","Región Actopan","Región Jacala"
9,55,0.346938775510204,991.5,937,"EL ARENAL","SANTIAGO DE ANAYA","Región Actopan","Región Actopan"
10,13,0.203703703703704,10104.5,6815.5,"ATITALAQUIA","ATOTONILCO DE TULA","Región Tula","Región Tula"
11,73,0.46031746031746,1628,1933,"ATLAPEXCO","TLANCHINOL","Región Huejutla","Región Huejutla"
12,16,0.456140350877193,3566.5,5737,"ATOTONILCO EL GRANDE","CUAUTEPEC DE HINOJOSA","Región Zacualtipán","Región Tulancingo"
12,50,0.456521739130435,3566.5,6481.5,"ATOTONILCO EL GRANDE","PROGRESO DE OBREGÓN","Región Zacualtipán","Región Actopan"
12,59,0.455357142857143,3566.5,2092.5,"ATOTONILCO EL GRANDE","TECOZAUTLA","Región Zacualtipán","Región Huichapan"
12,67,0.452991452991453,3566.5,6766,"ATOTONILCO EL GRANDE","TEZONTEPEC DE ALDAMA","Región Zacualtipán","Región Tula"
13,56,0.37962962962963,6815.5,4284.5,"ATOTONILCO DE TULA","SANTIAGO TULANTEPEC DE LUGO GUERRERO","Región Tula","Región Tulancingo"
14,17,0.5,1805.5,867,"CALNALI","CHAPANTONGO","Región Huejutla","Región Huichapan"
14,27,0.487179487179487,1805.5,1231.5,"CALNALI","HUEHUETLA","Región Huejutla","Región Tulancingo"
14,35,0.487179487179487,1805.5,787,"CALNALI","METEPEC","Región Huejutla","Región Tulancingo"
14,37,0.518518518518518,1805.5,1685,"CALNALI","METZTITLÁN","Región Huejutla","Región Zacualtipán"
14,42,0.461538461538462,1805.5,1726,"CALNALI","MOLANGO DE ESCAMILLA","Región Huejutla","Región Zacualtipán"
14,46,0.527472527472527,1805.5,3538,"CALNALI","SAN FELIPE ORIZATLÁN","Región Huejutla","Región Huejutla"
14,65,0.474358974358974,1805.5,1650,"CALNALI","TETEPANGO","Región Huejutla","Región Tula"
14,66,0.454545454545455,1805.5,2271,"CALNALI","VILLA DE TEZONTEPEC","Región Huejutla","Región Tizayuca"
15,38,0.324324324324324,864,638,"CARDONAL","MINERAL DEL CHICO","Región Ixmiquilpan","Región Mineral de la Reforma"
16,23,0.478991596638655,5737,5539.5,"CUAUTEPEC DE HINOJOSA","FRANCISCO I. MADERO","Región Tulancingo","Región Actopan"
16,67,0.521367521367521,5737,6766,"CUAUTEPEC DE HINOJOSA","TEZONTEPEC DE ALDAMA","Región Tulancingo","Región Tula"
17,18,0.461538461538462,867,1461.5,"CHAPANTONGO","CHAPULHUACÁN","Región Huichapan","Región Jacala"
17,27,0.450704225352113,867,1231.5,"CHAPANTONGO","HUEHUETLA","Región Huichapan","Región Tulancingo"
17,35,0.507042253521127,867,787,"CHAPANTONGO","METEPEC","Región Huichapan","Región Tulancingo"
17,44,0.394366197183099,867,804,"CHAPANTONGO","NOPALA DE VILLAGRÁN","Región Huichapan","Región Huichapan"
17,66,0.454545454545455,867,2271,"CHAPANTONGO","VILLA DE TEZONTEPEC","Región Huichapan","Región Tizayuca"
18,31,0.48314606741573,1461.5,2121.5,"CHAPULHUACÁN","JACALA DE LEDEZMA","Región Jacala","Región Jacala"
18,37,0.45679012345679,1461.5,1685,"CHAPULHUACÁN","METZTITLÁN","Región Jacala","Región Zacualtipán"
18,73,0.474358974358974,1461.5,1933,"CHAPULHUACÁN","TLANCHINOL","Región Jacala","Región Huejutla"
19,45,0.369565217391304,732,757.5,"CHILCUAUTLA","OMITLÁN DE JUÁREZ","Región Ixmiquilpan","Región Mineral de la Reforma"
19,60,0.403225806451613,732,1207.5,"CHILCUAUTLA","TENANGO DE DORIA","Región Ixmiquilpan","Región Tulancingo"
20,26,0.4375,283,399.5,"ELOXOCHITLÁN","HUAZALINGO","Región Zacualtipán","Región Huejutla"
20,33,0.461538461538462,283,324,"ELOXOCHITLÁN","JUÁREZ HIDALGO","Región Zacualtipán","Región Zacualtipán"
