"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.434782608695652,340147.5,1347181,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.403743315508021,340147.5,527826,"AGS","QRO"
"AGUASCALIENTES","SAN LUIS POTOSÍ",0.412140575079872,340147.5,580400.5,"AGS","SLP"
"AGUASCALIENTES","SONORA",0.420749279538905,340147.5,763670.5,"AGS","SON"
"AGUASCALIENTES","TAMAULIPAS",0.402597402597403,340147.5,803271,"AGS","TAMPS"
"BAJA CALIFORNIA","COAHUILA DE ZARAGOZA",0.434285714285714,880287,734577.5,"BC","COAH"
"BAJA CALIFORNIA","CHIHUAHUA",0.46,880287,859102,"BC","CHIH"
"BAJA CALIFORNIA","JALISCO",0.406741573033708,880287,1995236.5,"BC","JAL"
"BAJA CALIFORNIA","NUEVO LEÓN",0.468131868131868,880287,1377432.5,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.427807486631016,880287,527826,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.505714285714286,880287,763670.5,"BC","SON"
"BAJA CALIFORNIA","TAMAULIPAS",0.422857142857143,880287,803271,"BC","TAMPS"
"BAJA CALIFORNIA SUR","CAMPECHE",0.426008968609865,219058,245169,"BCS","CAMP"
"BAJA CALIFORNIA SUR","COLIMA",0.426229508196721,219058,217459,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.456521739130435,219058,276875.5,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.502242152466368,219058,422429,"BCS","Q ROO"
"BAJA CALIFORNIA SUR","SINALOA",0.407166123778502,219058,695674.5,"BCS","SIN"
"BAJA CALIFORNIA SUR","TABASCO",0.418803418803419,219058,431069.5,"BCS","TAB"
"CAMPECHE","COLIMA",0.401639344262295,245169,217459,"CAMP","COL"
"CAMPECHE","NAYARIT",0.404347826086957,245169,276875.5,"CAMP","NAY"
"CAMPECHE","QUINTANA ROO",0.43778801843318,245169,422429,"CAMP","Q ROO"
"CAMPECHE","TABASCO",0.47008547008547,245169,431069.5,"CAMP","TAB"
"CAMPECHE","YUCATÁN",0.387453874538745,245169,625912,"CAMP","YUC"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.485119047619048,734577.5,859102,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","DURANGO",0.407738095238095,734577.5,374544.5,"COAH","DGO"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.463736263736264,734577.5,1377432.5,"COAH","NL"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.419642857142857,734577.5,580400.5,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.46685878962536,734577.5,763670.5,"COAH","SON"
"COAHUILA DE ZARAGOZA","TAMAULIPAS",0.446428571428571,734577.5,803271,"COAH","TAMPS"
"COLIMA","NAYARIT",0.467213114754098,217459,276875.5,"COL","NAY"
"COLIMA","SINALOA",0.446254071661238,217459,695674.5,"COL","SIN"
"COLIMA","TABASCO",0.401639344262295,217459,431069.5,"COL","TAB"
"CHIAPAS","GUERRERO",0.458128078817734,861635.5,692308,"CHIS","GRO"
"CHIAPAS","OAXACA",0.521531100478469,861635.5,813371.5,"CHIS","OAX"
"CHIAPAS","TABASCO",0.427350427350427,861635.5,431069.5,"CHIS","TAB"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.439688715953307,861635.5,1449522.5,"CHIS","VER"
"CHIHUAHUA","DURANGO",0.439344262295082,859102,374544.5,"CHIH","DGO"
"CHIHUAHUA","SAN LUIS POTOSÍ",0.402555910543131,859102,580400.5,"CHIH","SLP"
"CHIHUAHUA","SINALOA",0.420195439739414,859102,695674.5,"CHIH","SIN"
"CHIHUAHUA","SONORA",0.469740634005764,859102,763670.5,"CHIH","SON"
"CHIHUAHUA","TAMAULIPAS",0.459016393442623,859102,803271,"CHIH","TAMPS"
"CIUDAD DE MÉXICO","JALISCO",0.50635593220339,3263709,1995236.5,"CDMX","JAL"
