"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.421538461538462,410399.5,1541149.5,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.464566929133858,410399.5,681328.5,"AGS","QRO"
"BAJA CALIFORNIA","CHIHUAHUA",0.510752688172043,1048137.5,957022.5,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.477642276422764,1048137.5,1696600.5,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.4750656167979,1048137.5,681328.5,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.524193548387097,1048137.5,872677,"BC","SON"
"BAJA CALIFORNIA SUR","COLIMA",0.461240310077519,271228.5,235872.5,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.468085106382979,271228.5,340124,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.485106382978723,271228.5,526115.5,"BCS","Q ROO"
"CAMPECHE","COLIMA",0.441860465116279,253594,235872.5,"CAMP","COL"
"CAMPECHE","TABASCO",0.46551724137931,253594,496997.5,"CAMP","TAB"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.529085872576177,869104,957022.5,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.479674796747967,869104,1696600.5,"COAH","NL"
"COAHUILA DE ZARAGOZA","QUERÉTARO",0.477690288713911,869104,681328.5,"COAH","QRO"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.466101694915254,869104,671459,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.487870619946092,869104,872677,"COAH","SON"
"COAHUILA DE ZARAGOZA","TAMAULIPAS",0.468926553672316,869104,890168.5,"COAH","TAMPS"
"COLIMA","NAYARIT",0.476744186046512,235872.5,340124,"COL","NAY"
"CHIAPAS","GUERRERO",0.528846153846154,957666,743141,"CHIS","GRO"
"CHIAPAS","OAXACA",0.586538461538462,957666,999040.5,"CHIS","OAX"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.469230769230769,957666,1621081,"CHIS","VER"
"CHIHUAHUA","SONORA",0.566037735849057,957022.5,872677,"CHIH","SON"
"CHIHUAHUA","TAMAULIPAS",0.476454293628809,957022.5,890168.5,"CHIH","TAMPS"
"CIUDAD DE MÉXICO","JALISCO",0.515856236786469,3659655.5,2264929,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.510162601626016,3659655.5,1696600.5,"CDMX","NL"
"DURANGO","SINALOA",0.44375,415270,829573.5,"DGO","SIN"
"DURANGO","ZACATECAS",0.476534296028881,415270,344332,"DGO","ZAC"
"GUERRERO","OAXACA",0.563106796116505,743141,999040.5,"GRO","OAX"
"HIDALGO","MÉXICO",0.443526170798898,642271,3364726,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.514851485148515,642271,1147843.5,"HGO","MICH"
"HIDALGO","MORELOS",0.468646864686469,642271,523414.5,"HGO","MOR"
"HIDALGO","PUEBLA",0.537953795379538,642271,1546899,"HGO","PUE"
"HIDALGO","TLAXCALA",0.465346534653465,642271,349525,"HGO","TLAX"
"HIDALGO","ZACATECAS",0.462046204620462,642271,344332,"HGO","ZAC"
"JALISCO","NUEVO LEÓN",0.550813008130081,2264929,1696600.5,"JAL","NL"
"JALISCO","QUERÉTARO",0.497844827586207,2264929,681328.5,"JAL","QRO"
"MICHOACÁN DE OCAMPO","MORELOS",0.486577181208054,1147843.5,523414.5,"MICH","MOR"
"MICHOACÁN DE OCAMPO","PUEBLA",0.471571906354515,1147843.5,1546899,"MICH","PUE"
"MICHOACÁN DE OCAMPO","TLAXCALA",0.456375838926175,1147843.5,349525,"MICH","TLAX"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.486577181208054,1147843.5,344332,"MICH","ZAC"
"NAYARIT","ZACATECAS",0.449056603773585,340124,344332,"NAY","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.522357723577236,1696600.5,681328.5,"NL","QRO"
"PUEBLA","TLAXCALA",0.45819397993311,1546899,349525,"PUE","TLAX"
"SINALOA","SONORA",0.544474393530997,829573.5,872677,"SIN","SON"
"SINALOA","YUCATÁN",0.434375,829573.5,724275,"SIN","YUC"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.473076923076923,496997.5,1621081,"TAB","VER"
