"nodo1","nodo2","peso_arista","peso_nodo1","peso_nodo2","nodo1_abr","nodo2_abr"
"AGUASCALIENTES","GUANAJUATO",0.412307692307692,419532.5,1553117.5,"AGS","GTO"
"AGUASCALIENTES","QUERÉTARO",0.477572559366755,419532.5,703354,"AGS","QRO"
"AGUASCALIENTES","SAN LUIS POTOSÍ",0.458715596330275,419532.5,685682,"AGS","SLP"
"BAJA CALIFORNIA","COAHUILA DE ZARAGOZA",0.454301075268817,1084146.5,877760.5,"BC","COAH"
"BAJA CALIFORNIA","CHIHUAHUA",0.516129032258065,1084146.5,984624,"BC","CHIH"
"BAJA CALIFORNIA","NUEVO LEÓN",0.482965931863727,1084146.5,1715250,"BC","NL"
"BAJA CALIFORNIA","QUERÉTARO",0.464379947229551,1084146.5,703354,"BC","QRO"
"BAJA CALIFORNIA","SONORA",0.497311827956989,1084146.5,876051.5,"BC","SON"
"BAJA CALIFORNIA SUR","COLIMA",0.481203007518797,276497,240525,"BCS","COL"
"BAJA CALIFORNIA SUR","NAYARIT",0.477366255144033,276497,347728,"BCS","NAY"
"BAJA CALIFORNIA SUR","QUINTANA ROO",0.493827160493827,276497,531013.5,"BCS","Q ROO"
"BAJA CALIFORNIA SUR","SINALOA",0.471947194719472,276497,845613.5,"BCS","SIN"
"CAMPECHE","COLIMA",0.421052631578947,260928.5,240525,"CAMP","COL"
"CAMPECHE","TABASCO",0.458515283842795,260928.5,532817.5,"CAMP","TAB"
"COAHUILA DE ZARAGOZA","CHIHUAHUA",0.529577464788732,877760.5,984624,"COAH","CHIH"
"COAHUILA DE ZARAGOZA","NUEVO LEÓN",0.464929859719439,877760.5,1715250,"COAH","NL"
"COAHUILA DE ZARAGOZA","QUERÉTARO",0.451187335092348,877760.5,703354,"COAH","QRO"
"COAHUILA DE ZARAGOZA","SAN LUIS POTOSÍ",0.46264367816092,877760.5,685682,"COAH","SLP"
"COAHUILA DE ZARAGOZA","SONORA",0.483695652173913,877760.5,876051.5,"COAH","SON"
"COAHUILA DE ZARAGOZA","TAMAULIPAS",0.46264367816092,877760.5,914948.5,"COAH","TAMPS"
"COLIMA","NAYARIT",0.496240601503759,240525,347728,"COL","NAY"
"COLIMA","SINALOA",0.468646864686469,240525,845613.5,"COL","SIN"
"CHIAPAS","GUERRERO",0.558823529411765,963578.5,741204,"CHIS","GRO"
"CHIAPAS","OAXACA",0.611650485436893,963578.5,1005866,"CHIS","OAX"
"CHIAPAS","VERACRUZ DE IGNACIO DE LA LLAVE",0.461832061068702,963578.5,1633196,"CHIS","VER"
"CHIHUAHUA","SONORA",0.557065217391304,984624,876051.5,"CHIH","SON"
"CIUDAD DE MÉXICO","JALISCO",0.490566037735849,3649585,2312836.5,"CDMX","JAL"
"CIUDAD DE MÉXICO","NUEVO LEÓN",0.50501002004008,3649585,1715250,"CDMX","NL"
"DURANGO","SINALOA",0.452145214521452,426891,845613.5,"DGO","SIN"
"DURANGO","ZACATECAS",0.480427046263345,426891,348024,"DGO","ZAC"
"GUERRERO","OAXACA",0.587378640776699,741204,1005866,"GRO","OAX"
"HIDALGO","MÉXICO",0.468926553672316,652805,3427119.5,"HGO","MEX"
"HIDALGO","MICHOACÁN DE OCAMPO",0.498432601880878,652805,1167485,"HGO","MICH"
"HIDALGO","MORELOS",0.476489028213166,652805,529220.5,"HGO","MOR"
"HIDALGO","PUEBLA",0.5141065830721,652805,1572369.5,"HGO","PUE"
"HIDALGO","ZACATECAS",0.470219435736677,652805,348024,"HGO","ZAC"
"JALISCO","NUEVO LEÓN",0.547094188376753,2312836.5,1715250,"JAL","NL"
"JALISCO","QUERÉTARO",0.473118279569892,2312836.5,703354,"JAL","QRO"
"MICHOACÁN DE OCAMPO","MORELOS",0.463087248322148,1167485,529220.5,"MICH","MOR"
"MICHOACÁN DE OCAMPO","PUEBLA",0.456953642384106,1167485,1572369.5,"MICH","PUE"
"MICHOACÁN DE OCAMPO","TLAXCALA",0.453020134228188,1167485,355025,"MICH","TLAX"
"MICHOACÁN DE OCAMPO","ZACATECAS",0.48993288590604,1167485,348024,"MICH","ZAC"
"NUEVO LEÓN","QUERÉTARO",0.513026052104208,1715250,703354,"NL","QRO"
"PUEBLA","TLAXCALA",0.460264900662252,1572369.5,355025,"PUE","TLAX"
"SINALOA","SONORA",0.510869565217391,845613.5,876051.5,"SIN","SON"
"SINALOA","YUCATÁN",0.448844884488449,845613.5,733521,"SIN","YUC"
"TABASCO","VERACRUZ DE IGNACIO DE LA LLAVE",0.477099236641221,532817.5,1633196,"TAB","VER"
